states,measurements,estimates
20.045614751999995,17.480258633689346,16.65765822739808
20.18479306779992,19.21208479894012,18.261239153389457
20.439410163886972,21.476645523371207,20.501374433797626
20.929907900546134,23.13148782809203,22.72030929924249
21.68305695053792,22.454528024648365,23.248011688990378
22.693878258482282,24.009440202401606,24.19255022618719
23.938773456839083,25.36922704883092,25.340803705178004
25.395644122983704,22.688729533785384,24.167577068351605
27.141447041860467,28.970758807240003,27.11569275148608
29.178007925690267,28.49146920586028,28.498478842577878
31.40525852183401,29.195766550454053,29.466575280130435
33.85526672169947,34.9520340400537,33.27143239778368
36.617497495343585,39.06063464369348,37.73142819917449
39.756646183325124,43.26701422586981,42.40919860857567
43.249719216129655,40.92846442596548,43.05936256810659
47.086061941716466,47.46203598342723,46.69168315315688
51.22582442629003,50.600966357073226,50.239525347716615
55.67608904699451,52.22211020429492,52.716613619423974
60.39352393313807,64.30391475182607,60.89740526797303
65.36423646090692,65.67236904877115,65.88806901751946
70.53019093791477,70.5590054659224,70.75508127606597
75.83982656940164,74.1557300068271,74.79455104373234
81.27045454804536,79.34188384261157,79.3526857350789
86.81119121736523,88.00947572145118,86.40739568591675
92.53660008059093,93.19201233098511,92.77178277488866
98.4914474283722,97.82090089104479,98.19816978147259
104.69171445157787,104.21616369961582,104.10827966137693
111.14670404260197,108.41908067064088,109.01017823070111
117.88237345505331,118.70934091008644,117.02412250825796
124.89757437375457,121.55300597229036,122.36492495866833
132.29434496114595,134.3700914105091,132.02595229906035
140.1308769505628,145.0029089290683,142.93422133679437
148.43626936424297,150.79917869134732,151.3121340391153
157.1838192316277,155.09772431501972,157.06516967052897
166.4059445623914,172.2458194686377,169.19860445405968
176.07326108941814,173.42230168990682,175.52035799851703
186.16522705342993,186.62258316714716,185.43874760012432
196.75326985544388,196.26549397095772,195.52094181648476
207.81603299095082,207.7836500526374,206.68497406456737
219.26375960043012,221.33508371196672,219.60868480809037
231.1021053878874,232.69244048355284,232.06288686841398
243.28416022299248,240.30531447203637,241.74854345410301
255.84246090974912,255.6243439443284,254.45675598808936
268.76993608313603,268.413800053319,267.5412035339622
282.0572626711116,284.36710857830366,282.614898232381
295.67864263752324,297.07621937313274,296.7407815720369
309.678850694757,309.53431869438185,309.94611857297264
324.04733836009564,322.74443020273304,323.0390932693001
338.7131464293991,341.6056016896095,339.5581250035794
353.65001708608094,355.3830742827538,354.98269587824666
368.8142587886299,368.38204102341945,369.0439498182815
384.3168778251831,386.85471791220715,385.60320069522015
400.1802168150042,400.3149523972129,400.627769385687
416.32792627345464,416.5460062389875,416.2986287342272
432.7874752210717,432.461151392062,432.18731934843515
449.58863533666147,449.7241288220375,448.98857510608747
466.67174468933854,463.1922194519716,463.9683037436912
484.0996240357816,483.3559005770183,481.88396571596036
501.9048022949272,505.5428222553517,502.8096512892851
520.0350973878701,518.690449725994,519.7693310830763
538.4403889065921,538.3230642839807,538.0528489894286
557.1973592924455,557.1453291764327,556.7396982126211
576.2867627516398,575.5557725970699,575.3719618523023
595.808234304608,594.8311052091303,594.446825805251
615.6983762608108,615.7277879555913,614.7373837569742
636.012570325099,641.5880803748217,638.6929846810913
656.8146705404772,660.9994014970654,660.6948665333409
678.0722822547173,678.0547909908297,679.7732605925723
699.7561778117994,701.1266717415818,700.7996989737123
721.8099329018064,724.4623245865155,723.3222516827828
744.2215435797767,742.0531064269854,743.1641454721739
766.8999604623664,767.0334948460211,765.8205658223866
789.857494118589,788.7292117374652,788.2321428229342
813.1506818641358,814.9105865158393,813.0758529968531
836.7710994624443,832.7178170094675,834.1531457630969
860.7238736143754,859.389644221067,858.2315821365687
884.9874466999654,884.2018955854235,883.0805171192823
909.519492948058,906.5181188388232,906.7028006992101
934.3800428823665,935.0600297697608,933.2657792333627
959.5367127288242,960.4652593609413,959.6267774992158
984.992777403404,986.488832837421,986.0172338539901
1010.6583726156603,1010.9321783718327,1011.355354601167
1036.55915799816,1038.2759037859553,1037.794944100339
1062.7386307411452,1063.3197891822708,1063.520214151836
1089.155248962778,1086.7377145679457,1087.7859290364036
1115.7132125986832,1117.808659835078,1115.8975563651932
1142.3818570369347,1142.9983816179003,1142.7668541235662
1169.1031584277073,1167.3308106882566,1168.15789483972
1195.8906393778027,1195.5537608085099,1195.0399510858288
1222.7177697375002,1223.2201438407797,1222.542898077418
1249.5427438698339,1250.5660215453859,1250.1398739262813
1276.2871958106475,1276.0031612853065,1276.542400661033
1302.9490640473457,1305.2394507925587,1304.5176405421832
1329.5709057281297,1330.5192188514193,1331.055386670458
1356.2416131498746,1359.8404784935728,1359.136141326902
1383.0302383526791,1379.7616190935576,1382.450918299196
1409.9032368931582,1410.7087917655933,1409.6553812267252
1436.8676224184576,1437.0076097578685,1436.6038398061582
1463.98272594149,1463.9722658770204,1463.6751693999684
1491.2723511529834,1493.624890630345,1492.3997451886246
